Character,Movie,Actor
Aech ,Ready Player One,Lena Waithe
Alec Hardison,Leverage,Aldis Hodge
Brody Nelson,CSI: Cyber,Shad Moss
Cyborg/Victor Stone,Justice League,Ray Fisher 
Glen Whitmann,Transformer,Anthony Anderson
Gus Gorman,Superman II,Richard Pryor
Hush,Escape Plan,50 cent
Johnny Storm/Human Torch,Fantastic Four,ichael B. Jordan
Leon Rollins/Latrell Walker,Exit Wounds,"Earl ""DMX"" Simmons"
Leslie Romero,Mr Robot,Ron Cephas Jones 
Lord Nikon,Hacker,Laurence Mason
Lucius Fox,Batman,Morgan Freeman
Luther,Mission Impossible,Ving Rhames
Morpheus ,Matrix,Laurence Fishburne 
Niobe ,Matrix,Jada Pinkett Smith
Ramsey,Fast and Furious,Nathalie Emmanuel
Riley Davis,MacGyver,Tristin Mays
Romilly,Interstellar,David Gyasi
Shuri,Black Panther,Letitia Wright
Steve,Office Space,Orlando Jones
Tank ,Matrix,Marcus Chong
Theo,Die Hard,Clarence Gilyard
